user;timeStamp;idParent;Id_Article
LunacyClem;1479340397;Le Monde;international_3
BrxPPP;1479339912;Le Monde;international_3
soleil82639;1479339602;Le Monde;international_3
lionelcergy;1479337636;Le Monde;international_3
EBOKOMalia;1479336969;Le Monde;international_3
alpiumlupa;1479336631;Le Monde;international_3
Silvaeternam;1479335722;Le Monde;international_3
madrynha2012;1479335275;Le Monde;international_3
jrf0001;1479335269;Le Monde;international_3
maslarelou;1479335124;Le Monde;international_3
fleming77;1479334810;Le Monde;international_3
Delmaire7;1479334793;Le Monde;international_3
DirtySteef;1479334693;Le Monde;international_3
vinx_yt;1479334678;Le Monde;international_3
ccdevallet;1479334475;Le Monde;international_3
marypopins84;1479334406;Le Monde;international_3
claraa_lpz;1479334306;Le Monde;international_3
willgnrfrance;1479334304;Le Monde;international_3
Monalisazelf;1479334292;Le Monde;international_3
juliette_lortie;1479334246;Le Monde;international_3
ascalon5;1479334230;Le Monde;international_3
BarbasNella;1479334205;Le Monde;international_3
horiguchikesazo;1479334101;Le Monde;international_3
Astharius;1479334099;Le Monde;international_3
TSHILEMBEMUSANS;1479333954;Le Monde;international_3
Fgermes;1479333925;Le Monde;international_3
Floriane_mtp;1479333764;Le Monde;international_3
DarlaysJames;1479333743;Le Monde;international_3
ZB_Katniss;1479333724;Le Monde;international_3
Oxy67Oxy;1479333701;Le Monde;international_3
ashka_hele;1479333699;Le Monde;international_3
morganetual;1479333682;Le Monde;international_3
becare_29;1479333674;Le Monde;international_3
kaxelivar;1479333664;Le Monde;international_3
phrosset30;1479333651;Le Monde;international_3
emmanuelgarga;1479333646;Le Monde;international_3
BBbambirose;1479333625;Le Monde;international_3
13Keviiin;1479333623;Le Monde;international_3
fck187;1479333593;Le Monde;international_3
sabran3375;1479333591;Le Monde;international_3
antorse31;1479333581;Le Monde;international_3
LaVeriteEtLaVie;1479333575;Le Monde;international_3
cyrilletrignac;1479333571;Le Monde;international_3
coliseumcrazy;1479333569;Le Monde;international_3
Hubert MESSMER;1479327121;null;international_3
OliveBerland;1479328403;Hubert MESSMER;international_3
Le Monde - Vidéos;1479323437;null;international_3
Loupo85;1480399842;Le Monde - Vidéos;international_3
FranceMob;1480399841;Le Monde - Vidéos;international_3
snapshorty;1480399283;Le Monde - Vidéos;international_3
f1mij;1480398689;Le Monde - Vidéos;international_3
ChrisThiry;1479323627;Le Monde - Vidéos;international_3
karimsalim;1479323089;null;international_3
jl_lambert;1482131954;null;international_4
Alain Leroux;1479897411;null;international_4
Delphine;1479395269;null;international_4
AM Bilodeau;1479393186;null;international_4
Alexandre Michelin;1479373812;null;international_4
Zak_Files;1479371730;null;international_4
IvoJima61;1479405443;Zak_Files;international_4
Kontekst015;1479372415;Zak_Files;international_4
AZ_Files;1479371906;Zak_Files;international_4
Alexandre Michelin;1479369684;null;international_4
Arnaud@Thurudev;1479366160;null;international_4
Gaël Stephan;1479365603;null;international_4
Olivier Montels;1479361204;null;international_4
:. OjoBlue;1479357050;null;international_4
RousseauAgnes;1479365568;:. OjoBlue;international_4
AmericaPolyphony;1479337021;null;international_4
Le Monde;1479332768;null;international_4
DurbaZW;1479828388;Le Monde;international_4
mdembele6;1479700328;Le Monde;international_4
M97Taines;1479692640;Le Monde;international_4
palot17;1479432381;Le Monde;international_4
kazaneg;1479398840;Le Monde;international_4
Pierre_Pgt;1479389447;Le Monde;international_4
HumanRems;1479372228;Le Monde;international_4
Lecuyer_Yohan;1479367539;Le Monde;international_4
Brhaspatya;1479352735;Le Monde;international_4
bir6463;1479352031;Le Monde;international_4
Dvnny66;1479347567;Le Monde;international_4
MarineCouartou;1479340083;Le Monde;international_4
MCVergiat;1479340024;Le Monde;international_4
BLBagousse;1479339605;Le Monde;international_4
FL23767;1479338564;Le Monde;international_4
PascaleArraou;1479338178;Le Monde;international_4
LotfiGAIED;1479336598;Le Monde;international_4
david_sillet;1479336246;Le Monde;international_4
kushhMARLEY__FP;1479335572;Le Monde;international_4
ugauthier;1479335230;Le Monde;international_4
Le_Tone;1479334888;Le Monde;international_4
zoobleu;1479334154;Le Monde;international_4
TNahila;1479333773;Le Monde;international_4
cyrilletrignac;1479333742;Le Monde;international_4
starryvibes;1479333657;Le Monde;international_4
cdelinares;1479333443;Le Monde;international_4
freddelams;1479333440;Le Monde;international_4
EUwatchers;1479333224;Le Monde;international_4
JenniePuccini;1479333194;Le Monde;international_4
fancyspark;1479333138;Le Monde;international_4
SaharHMostafa7;1479333109;Le Monde;international_4
yoann_abk;1479333008;Le Monde;international_4
SamDanOfficiel;1479333002;Le Monde;international_4
Uranus42PP;1479332977;Le Monde;international_4
OffspinMedia;1479332961;Le Monde;international_4
kjmarsh;1479332961;Le Monde;international_4
PovFiston;1479332925;Le Monde;international_4
vchatelier;1479332902;Le Monde;international_4
demsocBXL;1479332843;Le Monde;international_4
AceofSpadesHQ;1479332832;Le Monde;international_4
sdmwrites;1479332808;Le Monde;international_4
PolitiqueInfo;1479332795;Le Monde;international_4
JeanArmet;1479332794;Le Monde;international_4
florakama;1479332781;Le Monde;international_4
tito's;1479328691;null;international_4
HafsoiM;1479329032;tito's;international_4
Hasardevi देवी.;1479325760;null;international_4
IsmaelIsmael016;1479325772;Hasardevi देवी.;international_4
MARZIO;1479324268;null;international_4
MARZIO;1479323960;null;international_4
William Audureau;1479322450;null;international_4
Erza_Knight_FR;1479381100;William Audureau;international_4
iCedric;1479370059;William Audureau;international_4
Sbajos;1479334983;William Audureau;international_4
florent92100;1479334313;William Audureau;international_4
apiquard;1479334289;William Audureau;international_4
el_producer;1479327279;William Audureau;international_4
SupBenji63;1479325773;William Audureau;international_4
Guinness60;1479322740;William Audureau;international_4
gregorbrandy;1479322681;William Audureau;international_4
Haiti News Network;1479322043;null;international_4
24 H News;1479322040;null;international_4
Globalnews;1479321984;null;international_4
dani;1479320959;null;international_4
Alain RODRIGUEZ;1479468775;null;international_5
peter melian;1479405378;null;international_5
Charles Rassaert;1479367591;null;international_5
adea guillot;1479325372;null;international_5
korrespondent09;1479327764;adea guillot;international_5
claudecognard;1479360846;null;international_6
Le papy Dan;1479333683;null;international_6
Le Monde;1479331206;null;international_6
uhss6;1479934575;Le Monde;international_6
labagatel;1479531535;Le Monde;international_6
bouden_riadh;1479411494;Le Monde;international_6
louzir_ahmed;1479411321;Le Monde;international_6
comte_fenix;1479367818;Le Monde;international_6
FabiennePle_Vue;1479367052;Le Monde;international_6
antoine_alt;1479364448;Le Monde;international_6
kultursalzkaro;1479363358;Le Monde;international_6
Catherineernens;1479362890;Le Monde;international_6
Coritaliana;1479358388;Le Monde;international_6
CrcElise;1479356181;Le Monde;international_6
revolution_fr;1479354541;Le Monde;international_6
nicodaigle;1479350755;Le Monde;international_6
djemilaben;1479349494;Le Monde;international_6
Fran75GB;1479348988;Le Monde;international_6
Fabien_Nguyen;1479348795;Le Monde;international_6
kamal_sidi;1479348483;Le Monde;international_6
FrancoiseHaas;1479347639;Le Monde;international_6
esprit1789;1479347191;Le Monde;international_6
luttesdemars;1479342590;Le Monde;international_6
idee_kenkyu;1479341162;Le Monde;international_6
Nataliagnecco;1479341154;Le Monde;international_6
RouxBrigitte4;1479340182;Le Monde;international_6
ThierryPle;1479340041;Le Monde;international_6
soleil82639;1479339712;Le Monde;international_6
Moochite;1479339326;Le Monde;international_6
paul_dehedin;1479339148;Le Monde;international_6
Babeth_03_12;1479339036;Le Monde;international_6
pouceopposable;1479338901;Le Monde;international_6
1Brefnoir;1479338148;Le Monde;international_6
leroy_rousseau;1479337526;Le Monde;international_6
mikulencak;1479336798;Le Monde;international_6
VaLeuRS974;1479336350;Le Monde;international_6
Joce1983;1479336025;Le Monde;international_6
OmNico72;1479335284;Le Monde;international_6
AnnaNomis;1479335102;Le Monde;international_6
maslarelou;1479335075;Le Monde;international_6
Le_Tone;1479334937;Le Monde;international_6
mariline_69;1479334829;Le Monde;international_6
grangibus;1479334797;Le Monde;international_6
AgnesBellorgey;1479334603;Le Monde;international_6
tofetsameute;1479334208;Le Monde;international_6
hugodelaguigner;1479334141;Le Monde;international_6
fbdlm;1479334133;Le Monde;international_6
EthelMadgirl;1479334128;Le Monde;international_6
aloumarb;1479333804;Le Monde;international_6
haymella;1479333715;Le Monde;international_6
teol03;1479333681;Le Monde;international_6
Villaceque51;1479333340;Le Monde;international_6
aurelien_cadart;1479333311;Le Monde;international_6
fancyspark;1479333110;Le Monde;international_6
